sqrt_spheres;rays_per_pixel;rays_depth;resolution;time_opencl;cpp_opencl;time_data_transfert;cpp_data_transfert;time_cpu; cpp_cpu
11;50;50;921600;871370;992.771790;5640;6.425781;29540904;89751.015625
11;50;50;2073600;1752403;887.356873;12445;6.301722;63512800;85761.882812
11;50;50;3686400;3073335;875.380249;22003;6.267130;113430588;86156.046875
11;50;50;8294400;6788253;859.334717;49495;6.265643;258649836;87314.273438
11;50;50;33177600;26759507;846.881104;192906;6.105062;1028462544;86796.367188
11;100;5;36864;52670;1500.203491;302;8.601888;2148629;163198.812500
11;100;5;230400;259015;1180.406982;1518;6.917969;13314330;161806.093750
11;100;5;404496;2;0.005192;2744;7.122938;23146658;160225.671875
11;100;5;921600;886480;1009.986938;5377;6.126139;53048346;161171.187500
11;100;5;2073600;1960050;992.502136;13990;7.084057;120328945;162481.203125
11;100;5;3686400;3400839;968.663452;22228;6.331217;209963088;159477.171875
11;100;5;8294400;7450094;943.118103;49620;6.281467;464435295;156782.750000
11;100;5;33177600;30818965;975.354187;193541;6.125158;1932323731;163077.093750
11;100;15;36864;86955;2476.745605;290;8.260091;2323336;176468.671875
11;100;15;230400;391209;1782.853516;1507;6.867838;14070573;170996.546875
11;100;15;404496;2;0.005192;2669;6.928251;24978077;172903.093750
11;100;15;921600;1485912;1692.933594;5663;6.451986;56268792;170955.531250
11;100;15;2073600;3216974;1628.965454;12616;6.388310;127302862;171898.156250
11;100;15;3686400;5360286;1526.774170;22048;6.279948;222032984;168644.859375
11;100;15;8294400;12124890;1534.907227;49629;6.282606;506459051;170969.000000
11;100;15;33177600;49290412;1559.936035;194840;6.166269;2055718649;173490.921875
11;100;50;36864;101600;2893.880127;290;8.260091;2321973;176365.140625
11;100;50;230400;473883;2159.623047;1575;7.177734;14098693;171338.281250
11;100;50;404496;2;0.005192;2723;7.068426;25881608;179157.531250
11;100;50;921600;1833057;2088.443848;5713;6.508952;57360896;174273.562500
11;100;50;2073600;3950002;2000.145630;12451;6.304760;126417298;170702.359375
11;100;50;3686400;7140705;2033.892212;22130;6.303304;232936183;176926.343750
11;100;50;8294400;15553457;1968.934448;49357;6.248173;518257044;174951.750000
11;100;50;33177600;60501959;1914.757568;194682;6.161268;2060008919;173853.000000
